name,image,category,hobby_detail_url
Cats,https://www.discoverahobby.com//uploads/activity/284_1563470968-304x207.jpeg?token=62e5863581458a5fa04b0e56e73e624d,Pets,https://www.discoverahobby.com/cats
Ferrets,https://www.discoverahobby.com//uploads/activity/285_1563470952-304x207.jpg?token=016758306fa7679bcc8116e61648a002,Pets,https://www.discoverahobby.com/ferrets
Insect-Spiders,https://www.discoverahobby.com//uploads/activity/286_1563470937-304x207.jpeg?token=4fd0673d3133487665e957978e32afa1,Pets,https://www.discoverahobby.com/insect-spiders
Rabbits,https://www.discoverahobby.com//uploads/activity/287_1563470923-304x207.jpg?token=064250780c511fb4adb385b443da1c84,Pets,https://www.discoverahobby.com/rabbits
Rodents,https://www.discoverahobby.com//uploads/activity/288_1563470888-304x207.jpg?token=b22add684532d5eb18d7d586056af12e,Pets,https://www.discoverahobby.com/rodents
Turtles,https://www.discoverahobby.com//uploads/activity/289_1563470821-304x207.jpg?token=628c805be66a21a65a5f7f0d10c23ba7,Pets,https://www.discoverahobby.com/turtles
Dogs,https://www.discoverahobby.com//uploads/activity/290_1563470773-304x207.jpg?token=ecec97930df38cf2f63a9f7c7ad72418,Pets,https://www.discoverahobby.com/dogs
Fishkeeping,https://www.discoverahobby.com//uploads/activity/291_1563470756-304x207.jpg?token=3d600ac34d036a26eace0479f256f15c,Pets,https://www.discoverahobby.com/fishkeeping
Parrots,https://www.discoverahobby.com//uploads/activity/292_1563470743-304x207.jpg?token=aa3cecea25b09c65545a040027c9afd5,Pets,https://www.discoverahobby.com/parrots
Reptiles,https://www.discoverahobby.com//uploads/activity/293_1563470725-304x207.jpg?token=ddaade413582062a082d49e089bdad2d,Pets,https://www.discoverahobby.com/reptiles
Snakes,https://www.discoverahobby.com//uploads/activity/294_1563470704-304x207.jpeg?token=6606ce2ca5e54a3a6c6d30a9beae3e27,Pets,https://www.discoverahobby.com/snakes
Animation,https://www.discoverahobby.com//uploads/activity/218_1562571830-304x207.jpg?token=51dadbce5ec08ad6dd8430668e9a41a5,Arts & Crafts ,https://www.discoverahobby.com/animation
Calligraphy,https://www.discoverahobby.com//uploads/activity/219_1562578750-304x207.jpg?token=a9a4bff6a3770e4aeeb043ad54abd69f,Arts & Crafts ,https://www.discoverahobby.com/calligraphy
Ceramics-Pottery,https://www.discoverahobby.com//uploads/activity/220_1562577822-304x207.jpg?token=8aec56993a2d4136ba604c29b105871b,Arts & Crafts ,https://www.discoverahobby.com/ceramics-pottery
Fashion Design,https://www.discoverahobby.com//uploads/activity/221_1563480351-304x207.jpg?token=fbcf133fd03203e48a6c434338a63852,Arts & Crafts ,https://www.discoverahobby.com/fashion-design
Floristry,https://www.discoverahobby.com//uploads/activity/222_1563474730-304x207.jpg?token=61e2da293ee88ee72d50571859f8791a,Arts & Crafts ,https://www.discoverahobby.com/floristry
Graffiti,https://www.discoverahobby.com//uploads/activity/223_1563474639-304x207.jpg?token=6ee7e293d7483b3bc612dc16092e5702,Arts & Crafts ,https://www.discoverahobby.com/graffiti
Knitting,https://www.discoverahobby.com//uploads/activity/224_1563474626-304x207.jpg?token=a4a40984ea178d448180096653c28b5e,Arts & Crafts ,https://www.discoverahobby.com/knitting
Origami,https://www.discoverahobby.com//uploads/activity/225_1562578403-304x207.jpg?token=26eed7ab2aea90162f2b8ff6793e1dd1,Arts & Crafts ,https://www.discoverahobby.com/origami
Paper Airplanes,https://www.discoverahobby.com//uploads/activity/226_1562578446-304x207.jpg?token=c95683407e92b8447d38ea18df06d90b,Arts & Crafts ,https://www.discoverahobby.com/paper-airplanes
Photography,https://www.discoverahobby.com//uploads/activity/227_1562578490-304x207.jpg?token=91aef72286a3debd0819bff5c80a86ca,Arts & Crafts ,https://www.discoverahobby.com/photography
Scrapbooking,https://www.discoverahobby.com//uploads/activity/228_1563474433-304x207.jpg?token=3a45fdd1e5d17be4b12e816330f63e50,Arts & Crafts ,https://www.discoverahobby.com/scrapbooking
Sewing,https://www.discoverahobby.com//uploads/activity/229_1563473983-304x207.jpg?token=402ef735a44cb4011ccc839d286ad3f0,Arts & Crafts ,https://www.discoverahobby.com/sewing
Tattoo,https://www.discoverahobby.com//uploads/activity/230_1563473938-304x207.jpeg?token=3bf0326689ff24efe079683c8a7b52f5,Arts & Crafts ,https://www.discoverahobby.com/tattoo
Architecture,https://www.discoverahobby.com//uploads/activity/231_1560834394-304x207.jpg?token=d5be7b8ebe5446becd9839de1537f6ac,Arts & Crafts ,https://www.discoverahobby.com/architecture
Candle Making,https://www.discoverahobby.com//uploads/activity/232_1563473626-304x207.jpg?token=b635c6479c7518af041bc03dbaaccd2a,Arts & Crafts ,https://www.discoverahobby.com/candle-making
