product_id,title,description,price,price_range,thumb_image,thumb_image_alt,is_customizable,product_url
53075,Kids' Paint-by-Numbers Kit,"Picasso worked in oils when he was 8. A young Frida Kahlo filled notebooks with sketches. Who knows what spark these colorful kits could ignite in your little artist? Brittany and Ashley Silfies have brought together everything kids need to start painting, including nontoxic, premixed colors, four brushes, and a clearly numbered 8"" x 10"" canvas that you can frame when each magnum opus is completed. Even if you suspect that you don't have a prodigy in the house, your child will still enjoy hours of creative, screen-free playtime—a stroke of genius all on its own. Choose from a gallery of three easy-to-paint designs: Dino, Llama, and Dog. Designed in Birmingham, Alabama. Made in China.",28.0,"[28.0, 28.0]",https://www.uncommongoods.com/images/items/53000/53075_1_360px.jpg,https://www.uncommongoods.com/images/items/53000/53075_2_360px.jpg,,https://www.uncommongoods.com/product/kids-paint-by-numbers-kit
53960,Sky Blue Lounge Pants,"Put on pants without putting on pants with this beautifully batiked, lounge-worthy pair. Indonesian artisans apply wax to the fabric, dip it in the dye, then remove the wax to reveal the stunning designs. Their soft sky colors, effortless style, handy side pockets, and breathable cotton fabric will keep you in the chill zone whether you're reading news stories on the sofa or driving tantrumming toddler triplets to the doctor. (OK, that last part was a fib.) Handmade in Indonesia.",64.0,"[64.0, 64.0]",https://www.uncommongoods.com/images/items/53900/53960_1_360px.jpg,https://www.uncommongoods.com/images/items/53900/53960_2_360px.jpg,,https://www.uncommongoods.com/product/sky-blue-lounge-pants
54763,Personalized Retro Gamer T-shirt Ladies ,"After rescuing royalty, saving the universe, and foiling the plans of countless supervillains, gamers deserve some well-earned recognition. Let joystick superfans strut their stuff in Lizzie Lees' wearable homage to classic arcades. By providing a name and selecting physical attributes, you'll transform your console companions into 8-bit-style characters showcased on the tee. You can even create a description of their gameplay personae by listing three of the avatar's abilities. We're guessing thoughtful gifting would definitely be one of yours. Made in Oregon.

Please note: because these tees are completely customized for you and yours, they are not refundable. To be sure you're happy with your order, please click or tap on ""See All Options"" (above) for our Sizing Chart and a gallery of personalization choices. Still have questions? Email us at help@uncommongoods.com.",,"[45.0, 200.0]",https://www.uncommongoods.com/images/items/54700/54763_1_360px.jpg,https://www.uncommongoods.com/images/items/54700/54763_2_360px.jpg,,https://www.uncommongoods.com/product/personalized-retro-gamer-t-shirt-ladies
54196,Mushroom Earrings,"Fly agarics (you know, the white-dotted, red-capped mushrooms) have popped up throughout pop culture—like in video games, home decor, and paintings—ever since the Renaissance. It’s the folklore and vintage depictions of these funky fungi that inspired Fernanda Sibilia to turn them into a pair of earrings. She handcrafts each one from brass, using circular cutouts in lieu of white dots, then hand-paints them using natural bright red paint. These playful pieces will make quite a statement, so don’t be surprised when someone says, “Oh, I love those. You know what they remind me of?” Handmade in Argentina.",60.0,"[60.0, 60.0]",https://www.uncommongoods.com/images/items/54100/54196_1_360px.jpg,https://www.uncommongoods.com/images/items/54100/54196_2_360px.jpg,,https://www.uncommongoods.com/product/mushroom-earrings
54325,Herringbone Pocket Shawl Ruana,"The versatile ruana is a fall wonder. Long, flowing, and heavier than most wraps, it adds an extra layer of warmth outdoors but keeps you stylishly cozy inside a chilly home or office. Our version is handwoven by fair-trade artisans living near the Himalayas—a place where comfort is essential. It boasts a textured herringbone pattern highlighted by two pink stripes and two roomy pockets for keys, cell phone, and other essentials. The look is pretty, the design is practical, and the warmth is perfect for running errands or lounging at home. Handmade in India. ",85.0,"[85.0, 85.0]",https://www.uncommongoods.com/images/items/54300/54325_2_360px.jpg,https://www.uncommongoods.com/images/items/54300/54325_1_360px.jpg,,https://www.uncommongoods.com/product/herringbone-pocket-shawl-ruana
56613,Shine Your Light Necklace,"Light isn’t just produced by the sun and electricity—we also create our own spiritual brightness just by existing. Celebrate your innate luminosity with Beth Lawrence’s handmade necklace. Designed to represent a mirror reflecting your inner shine, this sterling silver oval is hammered and sanded to shimmer, completed with a gold-filled hanging disc. Each piece comes with a card reading: ""Your unique spirit is a light to those around you. It is bright, beautiful, and contagious. Shine it generously on others! It will illuminate their souls and give strength to their own inner light."" Handmade in Tennessee.",62.0,"[62.0, 62.0]",https://www.uncommongoods.com/images/items/56600/56613_1_360px.jpg,https://www.uncommongoods.com/images/items/56600/56613_2_360px.jpg,,https://www.uncommongoods.com/product/shine-your-light-necklace
56366,Turquoise Heart Necklace,"Turquoise has been cherished in cultures around the world for its ability to calm, inspire, and soothe. (Many say it can even bring luck, peace, and protection.) Embrace this long-adored stone with Emilie Shapiro’s heart necklace. Each piece transforms stunning turquoise, mined in Kingman, Arizona, and recycled sterling silver into an elegant statement of love. Handmade in New York City.",150.0,"[150.0, 150.0]",https://www.uncommongoods.com/images/items/56300/56366_1_360px.jpg,https://www.uncommongoods.com/images/items/56300/56366_2_360px.jpg,,https://www.uncommongoods.com/product/turquoise-heart-necklace
56443,Bourbon & Beer Boilermaker Set,"The boilermaker has a long history as one of America’s favorite drink combos: It’s believed that the luscious libation of beer and bourbon takes its name from the workers who built and maintained steam locomotives in the 1800s. Hundreds of years later, the liquor pair is still front and center in James Strickland’s boilermaker set. Handcrafted from genuine, repurposed bourbon barrels by artisans in Kentucky, this distinctive tasting experience features a spot for a shot glass, a pilsner glass, and a place to showcase your favorite brand’s bottle cap. Premium glassware, a stainless steel bottle opener, and three sealed display bottle caps are also included. Handmade in Kentucky.",50.0,"[50.0, 50.0]",https://www.uncommongoods.com/images/items/56400/56443_1_360px.jpg,https://www.uncommongoods.com/images/items/56400/56443_2_360px.jpg,,https://www.uncommongoods.com/product/bourbon-beer-boilermaker-set
56614,Shine Your Light Earrings,"Scientifically, light is electromagnetic radiation that can be detected by the human eye. But spiritually? Luminosity is a feeling. Share your innate brightness in the world with Beth Lawrence’s handmade earrings. Designed to represent mirrors reflecting your inner shine, these silver ovals are hammered and sanded to shimmer, and completed with gold-filled hanging discs. Each set comes with a card reading: ""Your unique spirit is a light to those around you. It is bright, beautiful, and contagious. Shine it generously on others! It will illuminate their souls and give strength to their own inner light."" Handmade in Tennessee.",68.0,"[68.0, 68.0]",https://www.uncommongoods.com/images/items/56600/56614_1_360px.jpg,https://www.uncommongoods.com/images/items/56600/56614_2_360px.jpg,,https://www.uncommongoods.com/product/shine-your-light-earrings
52387,Recycled Perched Parrot Garden Stake,"During the Golden Age of Piracy (1650–1730), the brightly colored and clever parrot was a popular pet during long months at sea. But what of today’s swashbuckling suburbanites and city dwellers seeking companionship in garages, flowerbeds, and patios? With a little welding magic and a signature sense of humor, artist Fred Conlon uncovers buried treasures from familiar tools and discarded metal scraps. His bird of paradise, made from adjustable wrenches, nails, and bolts, is eager to perch indoors or outside as your silent, smiling sentry through whatever adventures await. Handmade in Salt Lake City, Utah.",150.0,"[150.0, 150.0]",https://www.uncommongoods.com/images/items/52300/52387_1_360px.jpg,https://www.uncommongoods.com/images/items/52300/52387_2_360px.jpg,,https://www.uncommongoods.com/product/recycled-perched-parrot-garden-stake
